date,nav
2022-01-09,58.1166
,58.3873
,57.0299
,57.835
,57.6711
,57.8701
,57.6726
,57.305
,58.113
,58.8693
,58.8383
,58.4553
2022-12-08,57.8835
2022-11-08,57.7547
2022-10-08,57.141
2022-08-08,57.1191
2022-05-08,56.6969
2022-04-08,56.6734
2022-03-08,56.7417
2022-02-08,56.7489
2022-01-08,56.694
,56.0689
,55.5448
,54.7223
,54.1738
,54.6553
,54.701
,54.4328
,53.9525
,53.3869
,53.1627
,52.456
,52.1586
,52.3834
2022-12-07,52.5995
2022-11-07,53.1047
2022-08-07,53.0855
2022-07-07,52.812
2022-06-07,52.1807
2022-05-07,51.558
2022-04-07,51.5891
2022-01-07,51.062
,50.8161
,50.9696
,51.1004
,50.894
,50.3956
,49.9249
,49.3373
,50.0441
,48.831
,48.8704
,49.0656
,50.1985
,50.1911
,50.2444
2022-10-06,51.6231
2022-09-06,52.3177
2022-08-06,52.1342
2022-07-06,52.1924
2022-06-06,52.5736
2022-03-06,52.7132
2022-02-06,53.0168
2022-01-06,52.8958
,52.9128
,52.9636
,51.8461
,51.1683
,50.6071
,51.0128
,51.2103
,51.3877
,50.0608
,51.348
,51.6228
,50.3452
,50.0751
2022-12-05,50.2057
2022-11-05,51.1851
2022-10-05,51.4411
2022-09-05,51.7456
2022-06-05,52.1522
2022-05-05,52.8648
2022-04-05,52.716
2022-02-05,53.9804
,54.0345
,54.449
,53.7566
,54.1408
,53.4328
,54.2467
,54.8144
,54.1133
,53.9044
,54.7058
,55.633
2022-12-04,55.6751
2022-11-04,56.2116
2022-08-04,56.5618
2022-07-04,56.1015
2022-06-04,56.4694
2022-05-04,56.5848
2022-04-04,56.8326
2022-01-04,55.7151
,54.959
,55.0212
,54.5227
,54.1012
,53.8267
,53.9304
,53.9523
,53.9773
,53.3653
,53.9074
,53.1544
,52.1763
,52.6659
2022-11-03,51.9161
2022-10-03,51.7675
2022-09-03,51.1626
2022-08-03,50.1075
2022-07-03,49.4198
2022-04-03,50.5231
2022-03-03,51.257
2022-02-03,51.4979
,52.1261
,51.9245
,50.5103
,53.1129
,53.1845
,53.7433
,53.9536
,54.0568
,54.128
,54.2458
,52.6686
2022-11-02,54.5917
2022-10-02,55.4149
2022-09-02,55.0412
2022-08-02,54.5086
2022-07-02,54.5047
2022-04-02,55.2995
2022-03-02,55.544
2022-02-02,56.0001
2022-01-02,55.3735
,54.7458
,53.7749
,53.7011
,54.0577
,53.1466
,54.656
,55.2412
,55.6133
,55.9155
,56.5581
,56.628
,56.5521
2022-12-01,56.42
2022-11-01,55.7781
2022-10-01,55.5418
2022-07-01,54.8875
2022-06-01,54.8331
2022-05-01,55.148
2022-04-01,54.9154
2022-03-01,54.3991
,53.6105
,53.1015
,53.1347
,53.2426
,52.7089
,52.588
,52.8344
,52.5914
,51.9621
,51.4184
,52.7535
,53.6826
,53.8186
,54.1071
,54.2816
2021-10-12,54.5616
2021-09-12,54.5585
2021-08-12,54.3811
2021-07-12,53.4281
2021-06-12,52.5657
2021-03-12,53.399
2021-02-12,53.7638
2021-01-12,53.2262
,52.6169
,52.7408
,52.9581
,54.8638
,54.5854
,54.7064
,54.0495
,55.1957
,55.7898
,56.0445
,56.5221
